country1_code;country2_code;incident_year;country1_snt_incidents;contry2_rvd_incidents;country1_to_country2_incidents;incidents_0;positive_goldstein_mentions_0;negative_goldstein_mentions_0;golds_mean_0;golds_std_0;incidents_1;positive_goldstein_mentions_1;negative_goldstein_mentions_1;golds_mean_1;golds_std_1;incidents_2;positive_goldstein_mentions_2;negative_goldstein_mentions_2;golds_mean_2;golds_std_2;incidents_3;positive_goldstein_mentions_3;negative_goldstein_mentions_3;golds_mean_3;golds_std_3;incidents_4;positive_goldstein_mentions_4;negative_goldstein_mentions_4;golds_mean_4;golds_std_4;incidents_5;positive_goldstein_mentions_5;negative_goldstein_mentions_5;golds_mean_5;golds_std_5
RUS;GBR;2020;557;208;62;20;0,6401559454191034;0,3598440545808967;0,5871994801819364;4,4764477752682525;12;0,6769598225710143;0,3230401774289858;1,0349910432483151;4,379245899618669;10;0,4932;0,5068;-0,19038;4,487100250228425;7;0,6849275362318841;0,31507246376811593;1,1497318840579709;4,358951135373923;2;0,6465445145594161;0,3534554854405839;0,6932182771569737;4,7034423762753566;2;0,7574566329714214;0,24254336702857857;1,83288406339698;4,49158905914299
RUS;IND;2020;557;261;47;18;0,8254931714719271;0,17450682852807284;2,063732928679818;3,7287675525967154;10;0,8614762386248737;0,1385237613751264;2,5767441860465117;3,8186182600324763;3;0,8264285714285714;0,17357142857142857;2,163928571428571;4,284997782367916;4;0,835032437442076;0,164967562557924;2,198424467099166;3,7647636253019563;4;0,8478444632290786;0,1521555367709214;2,3174978866077334;4,422507158104813;2;0,867564534231201;0,1324354657687991;2,4564534231200894;4,248288807527427
RUS;ISR;2020;557;175;36;13;0,7058484586574474;0,29415154134255256;0,8473350619418035;4,17288074275614;7;0,6544554455445545;0,3455445544554455;0,4388366336633663;4,442137523230414;5;0,5827394526795895;0,4172605473204105;0,07987457240592925;4,6347701557939995;5;0,7493680989756552;0,2506319010243448;1,1408407609418652;4,085177668669222;1;0,7497262631002659;0,2502737368997341;1,1617237604207022;4,5031508479643225;1;0,6906292616403663;0,30937073835963375;0,5407558932398208;4,991940784607321
RUS;ITA;2020;557;151;49;15;0,788160185722577;0,2118398142774231;2,1512478235635517;4,335658731051284;12;0,8044263775971093;0,1955736224028907;1,5706413730803972;4,0819181602366825;10;0,8461538461538461;0,15384615384615385;2,2027711419015765;3,7612455322452893;6;0,8355690177412376;0,16443098225876243;1,683037646040675;3,877111383058813;2;0,8332559219693451;0,1667440780306549;2,037111007995623;4,343964257307114;0;0,8504968383017163;0,14950316169828365;1,9321138211382114;3,572065330586607
SYR;FRA;2015;12;228;4;2;0,6487542087542087;0,35124579124579125;-0,202989898989899;5,202516532015179;0;1,0;0,0;2,129653680490761;0,6702186127628929;0;1,0;0,0;1,6251129161384115;0,6026834715639919;0;1,0;0,0;4,042405276286732;1,6486090984305635;0;1,0;0,0;5,00656897478558;2,0871301298158977;0;1,0;0,0;6,694625833169629;2,3262198370482623
RUS;JPN;2020;557;510;142;25;0,7295298468040148;0,2704701531959852;1,2855256207078711;5,290723045523244;23;0,7827586206896552;0,21724137931034482;1,7488566243194195;4,428130006369406;28;0,8038834951456311;0,19611650485436893;2,1847087378640775;4,377702123950436;30;0,7880467049277656;0,21195329507223432;1,773817534138136;4,479592578069909;19;0,8058252427184466;0,1941747572815534;2,324757281669135;4,2394555366080455;4;0,730968513351933;0,269031486648067;1,5979673176564368;4,510518667535624
TUR;FRA;2018;6;228;1;1;0,7271356783919598;0,2728643216080402;1,3149246231155778;3,9293194226190864;0;0,7111872146118722;0,2888127853881279;0,9660958904109591;4,730310837344399;0;0,6275599765944997;0,3724400234055003;-0,16044470474795333;4,914679654148485;0;0,608727948003714;0,39127205199628595;-0,3489507892559055;5,024994104609193;0;1,0;0,0;2,3932283819551676;0,6401296719642845;0;1,0;0,0;1,3175724060797052;0,33157053233105926
RUS;GBR;2020;557;208;62;20;0,6401559454191034;0,3598440545808967;0,5871994801819364;4,4764477752682525;12;0,6769598225710143;0,3230401774289858;1,0349910432483151;4,379245899618669;10;0,4932;0,5068;-0,19038;4,487100250228425;7;0,6849275362318841;0,31507246376811593;1,1497318840579709;4,358951135373923;2;0,6465445145594161;0,3534554854405839;0,6932182771569737;4,7034423762753566;2;0,7574566329714214;0,24254336702857857;1,83288406339698;4,49158905914299
RUS;MEX;2020;557;37;13;4;0,8123620309050773;0,18763796909492272;1,8834437086092715;4,1347517223323305;4;0,7589743589743589;0,24102564102564103;1,1948717948717948;3,811629665911836;0;0,736235595390525;0,26376440460947503;1,0845070422535212;4,114364228265569;0;0,7822784810126582;0,21772151898734177;1,409113924050633;4,251431287371433;5;0,87374749498998;0,12625250501002003;1,9979959918247037;3,3897004976911553;0;0,8013029315960912;0,1986970684039088;0,9195439739413679;4,185881628016566
IRN;GBR;2020;171;208;17;5;0,6289911851126346;0,3710088148873653;0,5703819784524976;4,86750245685718;4;0,5354247973581507;0,4645752026418493;0,12945061543080155;4,761130550958896;3;0,7055957478222353;0,29440425217776467;1,5706629263251144;4,66614574319915;0;0,6901363780526483;0,30986362194735173;1,1420710434506818;4,456444756254952;0;0,6982905982905983;0,3017094017094017;1,0487863247170408;4,3575041153922465;3;0,8592501536570375;0,1407498463429625;2,7747019053472646;3,593958832882603
IRN;SAU;2020;171;95;36;1;0,5889241278360575;0,4110758721639424;-0,5278848499634058;5,376871733350075;2;0,48348714819617117;0,5165128518038289;-1,127663793760964;5,453769875347989;7;0,47967731926776297;0,5203226807322371;-1,171961940221326;5,276120389339913;12;0,5412354771125643;0,45876452288743574;-0,4701479271157387;4,879428243472447;9;0,46004;0,53996;-0,8287359999120237;4,814215018460392;1;0,5321264367816092;0,4678735632183908;-0,19368965517241382;4,693262027141701
CHN;AFG;2020;425;49;10;3;0,7906553398058253;0,20934466019417475;2,2198422330097087;4,926089719703234;2;0,8893584325777949;0,11064156742220514;2,8544371878601615;3,424044168426828;3;0,8312277291869129;0,16877227081308713;2,385552316164561;3,9838789015810008;0;0,8444902162718847;0,15550978372811536;2,521343975283213;3,7981552986440907;0;0,8940584088620342;0,10594159113796577;3,250392749215901;3,596574171053439;0;0,889218009478673;0,11078199052132702;2,87502962085308;3,3902383301386885
CHN;JPN;2020;425;510;135;15;0,7787072243346007;0,22129277566539923;1,622002534854246;4,2367119292282815;22;0,8184274333217874;0,18157256667821267;2,020145479736751;3,9887976290385803;17;0,8024127216231036;0,19758727837689635;1,9625479802595502;3,9489765642096586;10;0,764076170869789;0,235923829130211;1,473736489963973;4,201927894479873;12;0,7021537921656358;0,29784620783436416;1,207496600430404;4,183989880806527;14;0,73336;0,26664;1,3054279999999998;4,201368412412318
