country1_code,latitude_1,longitude_1,country2_code,latitude_2,longitude_2,incident_year,incidents_in_year,prediction,prediction_error
RUS,60.0000,100.0000,JPN,36.0000,138.0000,2020,25,25.01082280006755,0.010822800067550986
RUS,60.0000,100.0000,SGP,1.3667,103.8000,2020,6,10.461579374932398,4.461579374932398
RUS,60.0000,100.0000,ZAF,-29.0000,24.0000,2020,4,5.772299737486642,1.7722997374866418
KHM,13.0000,105.0000,PHL,13.0000,122.0000,2017,2,1.8699570700935375,0.1300429299064625
PRK,37.0000,127.5000,CAN,60.0000,-95.0000,2019,2,0.5487510469908621,1.451248953009138
RUS,60.0000,100.0000,AFG,33.0000,65.0000,2020,1,3.0073369726912844,2.0073369726912844
RUS,60.0000,100.0000,CHN,35.0000,105.0000,2020,6,6.77867409798369,0.7786740979836901
RUS,60.0000,100.0000,JPN,36.0000,138.0000,2020,25,25.01082280006755,0.010822800067550986
KHM,13.0000,105.0000,CHN,35.0000,105.0000,2020,2,2.0657089220409297,0.06570892204092971
KHM,13.0000,105.0000,JPN,36.0000,138.0000,2020,2,1.348972730192151,0.651027269807849
KHM,13.0000,105.0000,MLI,17.0000,-4.0000,2020,1,2.4925759313122673,1.4925759313122673
PRK,37.0000,127.5000,USA,38.0000,-97.0000,2020,10,10.112853308481768,0.11285330848176756
IRN,32.0000,53.0000,EGY,27.0000,30.0000,2017,3,2.203149775718267,0.7968502242817328
RUS,60.0000,100.0000,AUS,-27.0000,133.0000,2018,11,14.38467125947609,3.3846712594760895
JPN,36.0000,138.0000,CHN,35.0000,105.0000,2014,1,1.984414951616766,0.984414951616766
USA,38.0000,-97.0000,JPN,36.0000,138.0000,2020,5,3.944180036725734,1.0558199632742662
USA,38.0000,-97.0000,MLI,17.0000,-4.0000,2020,1,2.7007439766174715,1.7007439766174715
IRN,32.0000,53.0000,IRQ,33.0000,44.0000,2014,1,1.5295914894911782,0.5295914894911782
CHN,35.0000,105.0000,JPN,36.0000,138.0000,2014,23,15.550433438362326,7.449566561637674
CHN,35.0000,105.0000,SAU,25.0000,45.0000,2015,2,2.802330237249377,0.802330237249377
CHN,35.0000,105.0000,DEU,51.0000,9.0000,2017,4,9.484594122831892,5.484594122831892
CHN,35.0000,105.0000,AUT,47.3333,13.3333,2019,3,1.9542855334709746,1.0457144665290254
JPN,36.0000,138.0000,IND,20.0000,77.0000,2017,1,1.7772738170203315,0.7772738170203315
CHN,35.0000,105.0000,JPN,36.0000,138.0000,2018,17,13.185225191576329,3.814774808423671
CHN,35.0000,105.0000,CHE,47.0000,8.0000,2019,4,5.328495916874474,1.3284959168744743
RUS,60.0000,100.0000,ISR,31.5000,34.7500,2018,5,6.174641835583541,1.1746418355835413
IRN,32.0000,53.0000,SAU,25.0000,45.0000,2018,7,12.874550066988986,5.874550066988986
IRN,32.0000,53.0000,UKR,49.0000,32.0000,2020,1,2.1320377781271516,1.1320377781271516
CHN,35.0000,105.0000,AUS,-27.0000,133.0000,2020,13,8.690948276965324,4.309051723034676
KOR,37.0000,127.5000,BGD,24.0000,90.0000,2015,3,0.8865359572402287,2.1134640427597713
CHN,35.0000,105.0000,THA,15.0000,100.0000,2018,5,3.2319348436458952,1.7680651563541048
RUS,60.0000,100.0000,MLI,17.0000,-4.0000,2020,11,13.652691875874275,2.6526918758742752
PRK,37.0000,127.5000,USA,38.0000,-97.0000,2020,10,10.112853308481768,0.11285330848176756
PRK,37.0000,127.5000,IND,20.0000,77.0000,2017,5,5.4733364028509985,0.47333640285099854
CHN,35.0000,105.0000,ESP,40.0000,-4.0000,2017,2,3.181523601532522,1.181523601532522
IRN,32.0000,53.0000,IRQ,33.0000,44.0000,2017,6,4.15365667667194,1.8463433233280604
RUS,60.0000,100.0000,JPN,36.0000,138.0000,2020,25,25.01082280006755,0.010822800067550986
USA,38.0000,-97.0000,JPN,36.0000,138.0000,2019,2,3.9789183213951063,1.9789183213951063
USA,38.0000,-97.0000,MLI,17.0000,-4.0000,2019,1,3.23824921591023,2.23824921591023
USA,38.0000,-97.0000,CHN,35.0000,105.0000,2013,2,1.161923216827205,0.8380767831727951
SAU,25.0000,45.0000,USA,38.0000,-97.0000,2019,1,1.5503864177383218,0.5503864177383218
USA,38.0000,-97.0000,BGR,43.0000,25.0000,2013,1,0.9413222532288206,0.05867774677117943
JPN,36.0000,138.0000,CHN,35.0000,105.0000,2020,1,3.4008592609498147,2.4008592609498147
